mode,si_sdr_db,si_sdr_db_per_example,stft_l1,stoi,stoi_available,stoi_error,stoi_per_example,utterance_id,waveform_snr_db
j5_estimated,-49.449459075927734,[-49.449459075927734],0.21416065096855164,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac,-0.48742616176605225
j5_oracle,-41.966209411621094,[-41.966209411621094],0.19961483776569366,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac,-0.8280394077301025
no_jammer,-43.359989166259766,[-43.359989166259766],0.20626036822795868,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac,-0.8025121092796326
clean_codec,-3.0554184913635254,[-3.0554184913635254],0.10655593127012253,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac,1.1392863988876343
j5_estimated,-13.19235610961914,[-13.19235610961914],0.17675837874412537,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac,-0.3622986376285553
j5_oracle,-14.071052551269531,[-14.071052551269531],0.17272211611270905,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac,-0.46991658210754395
no_jammer,-23.330486297607422,[-23.330486297607422],0.17510828375816345,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac,-0.8694170713424683
clean_codec,-4.198409557342529,[-4.198409557342529],0.10481204092502594,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac,0.5467562079429626
j5_estimated,-15.771148681640625,[-15.771148681640625],0.09260322153568268,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/281318/7850-281318-0012.flac,-0.272787481546402
j5_oracle,-10.526223182678223,[-10.526223182678223],0.08806581795215607,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/281318/7850-281318-0012.flac,0.15995152294635773
no_jammer,-11.927423477172852,[-11.927423477172852],0.08969901502132416,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/281318/7850-281318-0012.flac,-0.03261526674032211
clean_codec,0.0058685243129730225,[0.0058685243129730225],0.06342890858650208,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/281318/7850-281318-0012.flac,2.6639418601989746
j5_estimated,-12.661666870117188,[-12.661666870117188],0.21732117235660553,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/3576/138058/3576-138058-0013.flac,0.22904323041439056
j5_oracle,-12.98526382446289,[-12.98526382446289],0.2142881602048874,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/3576/138058/3576-138058-0013.flac,0.20999260246753693
no_jammer,-13.978517532348633,[-13.978517532348633],0.21590714156627655,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/3576/138058/3576-138058-0013.flac,0.16056373715400696
clean_codec,4.855175971984863,[4.855175971984863],0.10629785805940628,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/3576/138058/3576-138058-0013.flac,6.048221588134766
j5_estimated,-18.15697479248047,[-18.15697479248047],0.21430820226669312,,False,pystoi is not installed,,data/mini_librispeech/LibriSpeech/dev-clean-2/251/118436/251-118436-0008.flac,0.06477870047092438
